id,doorOpen,timeStamp
1,false,2018-10-02 14:12:35
2,true,20181004111526
3,false,20181004111538
4,true,20181004111548
5,false,20181004111557
6,true,20181004111611
7,false,20181004111621
8,true,20181004111630
9,false,20181004111644
10,true,20181004111656
11,false,20181004111709
12,true,20181004111721
13,false,20181004111727
14,true,20181004111733
15,false,20181004111738
